section_number,section_name,chapter_number,chapter_name,heading_number,heading_name,subheading_number_5digit,subheading_name_5digit,subheading_number_6digit,subheading_name_6digit,reference_number,statistical_code,unit,commodity_name,rate
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Calendars and catalogues,999932,Calendars and catalogues,99993204,1,,"Goods, as prescribed by by-law, that are calendars, catalogues, overseas travel literature, overseas price lists or other overseas printed matter",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99997,Printed matter and pictorial illustrations,999970,Printed matter and pictorial illustrations,99997005,2,,"Goods that are: a. printed matter, including printed pictures and photographs, that is the property of any public institution and is intended for deposit with, or exhibition in, that institution; or b. pictorial illustrations for teaching purposes in universities, colleges, schools or public institutions",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99997,Photographic plates and film,999970,Photographic plates and film,99997006,,,"Goods, as prescribed by by-law, classified under heading 3705 of Schedule 3 (about certain photographic plates and film)",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99997,Works of art,999970,Works of art,99997007,,,"Works of art or collectors' pieces: a.to which Annex B to the Educational, Scientific and Cultural Materials Agreement, or Annex B to the Educational, Scientific and Cultural Materials Protocol, applies; and b.that are consigned to a library, museum, gallery or institution that is covered by item 12.1.2, 12.1.3, 12.1.4 or 12.1.5 of the table in subsection 30-100(1) of the Income Tax Assessment Act 1997 and is endorsed under Subdivision 30-BA of that Act as a deductible gift recipient",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99997,Theatrical and traditional costumes,999970,Theatrical and traditional costumes,99997008,,,"Goods, as prescribed by by-law, that are: a.theatrical costumes or props; or b.traditional costumes",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods for international organisations,999930,Goods for international organisations,99993009,3,,"Goods, as prescribed by by-law, that: a.for the official use of an international organisation established by agreement between the Government of Australia and the government of another country or other countries; or b.for the official or personal use of an official of such an international organisation",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods of foreign governments ,999930,Goods of foreign governments ,99993010,4,,"Goods, as prescribed by by-law, that: a.at the time they are entered for home consumption, are owned by the government of a foreign country and are for the official use of that government; and b.are not to be used for the purposes of trade",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods for foreign forces ,999930,Goods for foreign forces ,99993011,5,,"Goods, as prescribed by by-law, that are for use by, or for sale to, persons the subject of a Status of Forces Agreement between the Government of Australia and the government of another country or other countries",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Trade Commissioner goods,999930,Trade Commissioner goods,99993012,6,,"Goods, as prescribed by by-law, that, at the time they are entered for home consumption, are for the official use of a Trade Commissioner of any country",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods subject to the Torres Strait Treaty,999930,Goods subject to the Torres Strait Treaty,99993013,,,"Goods, as prescribed by by-law, in relation to which the customs procedures of the Commonwealth are to be applied in the manner mentioned in Article 16 of the Treaty between Australia and the Independent State of Papua New Guinea concerning Sovereignty and Maritime Boundaries in the area between the two Countries, including the area known as Torres Strait, and Related Matters, done at Sydney on 18 December 1978 ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Eastern Greater Sunrise offshore area goods,999930,Eastern Greater Sunrise offshore area goods,99993014,,,"Goods, as prescribed by by-law, that are for use in a petroleum activity in the Eastern Greater Sunrise offshore area (within the meaning of the Offshore Petroleum and Greenhouse Gas Storage Act 2006)",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99994,Personal effects for passengers and ship or aircraft crew,999940,Personal effects for passengers and ship or aircraft crew,99994015,41,,"Goods, as prescribed by by-law, that are: a.goods imported by passengers or members of the crew of ships or aircraft; b.goods that: i.at the time they are approved for delivery for home consumption, are the property of a person who has arrived in Australia on an international flight within the meaning of section 96B of the Customs Act 1901; and ii.were purchased by that person in an inwards duty free shop within the meaning of that section; or c.goods brought into, or sent to, Australia by such members of the Defence Force stationed outside Australia as are prescribed by by-law; or d.goods imported by members of the forces of Canada, New Zealand or the United Kingdom; or e.passengers’ personal effects, furniture or household goods",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99994,Repair goods under an article of a free trade agreement,999940,Repair goods under an article of a free trade agreement,99994016,,,"Goods that are covered by an article of a free trade agreement between Australia and one or more other countries, being an article that is prescribed by by-law and that relates to the export of goods from Australia for one or more of the following: a. repair; b. renovation; c. alteration; d. other similar processes",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99994,Goods exported and returned to Australia in an unaltered condition ,999940,Goods exported and returned to Australia in an unaltered condition ,99994017,,,"Goods, as prescribed by by-law: a. that have been exported from Australia and returned to Australia without having been subject to any treatment, repair, renovation, alteration or any other process since their export; and  b. that are not goods to which item 17A of this Schedule applies ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods reimported,999932,Goods reimported,99993217,7,,Goods reimported after being exported on a temporary basis to the Australian Antarctic Territory including Heard and McDonald Islands ,
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods reimported,999932,Goods reimported,99993217,,,"Goods produced in Australia that a. have been exported from Australia and returned to Australia without having been subject to any treatment, repair, renovation, alteration or any other process since their export; and b.contain one or more of the following:  i.components (the tradex components) previously imported by the holder of a tradex order under the Tradex Scheme Act 1999 in which the components were specified, except components on which tradex duty has been paid under section 21 of that Act; ii.components (the drawback components) in respect of which there has been a drawback or refund of any duties of the Commonwealth; iii.components (the excise components) that, at a time before they were exported, were excisable goods (within the meaning of the Excise Act 1901) in respect of which excise duty (payable under the Excise Tariff Act 1921) was not paid",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Warranty and safety recall goods ,999932,Warranty and safety recall goods ,99993218,,,"Goods: a. that were previously imported into Australia, that have been returned after repair overseas free of charge under warranty and that are neither upgraded goods nor goods in respect of which there has been a drawback or refund of any duties, taxes or charges of the Commonwealth; or b. that are supplied free of charge under warranty, or as part of a global product safety recall, to replace goods (the replaced goods) previously imported into Australia, and that are neither upgraded goods nor goods to replace goods which have reached the end of their operational life, where: i. the replaced goods are of no commercial value, the replaced goods have been or will be destroyed or the replaced goods have been or will be exported and will not be re-imported under any item of this Schedule; and ii. the replaced goods are not goods in respect of which there has been a drawback or refund of any duties, taxes or charges of the Commonwealth  Goods specified in paragraph (a) of item 18 that were previously imported into Australia, that have been returned after repair overseas free of charge under warranty:",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Repair goods subject to a tariff concession order ,999932,Repair goods subject to a tariff concession order ,99993219,,,Goods: a.that a tariff concession order under section 269Q of the Customs Act 1901 declares are goods to which this item applies; and b.whose identity has not been altered since the day they were exported from Australia ,
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods exported for repair or renovation,999932,Goods exported for repair or renovation,99993220,,,"Goods, as prescribed by by-law, that satisfy the following: a.either: i. they have been exported from Australia for repair or renovation and returned after being repaired or renovated; or ii. they are part of a batch repair process to replace goods exported from Australia for repair or renovation; b. they are not new or upgraded versions of the exported goods; c. they are not goods to which item 16, 18 or 19 of this Schedule applies; d. under Schedule 3, 5, 6, 7, 8, 10, 11 or 12, duty on the goods is worked out by reference to a percentage (the applicable percentage) of the value of the goods ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods for repair or alteration to be exported,999932,Goods for repair or alteration to be exported,99993221,,,"Goods, as prescribed by by-law, that are: a. imported for repair or alteration; and b. to be exported from Australia ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Tradex goods,999932,Tradex goods,99993221,,,Goods that are specified in a tradex order in force under the Tradex Scheme Act 1999 and are imported by the holder of that order,
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,"Containers used to import goods, being containers that will be exported ",999932,"Containers used to import goods, being containers that will be exported ",99993222,,,"The following goods: a. goods, as prescribed by by-law, that are imported on or in containers, as prescribed by by-law, where the containers will be exported without being put to any other use; b. those containers",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Donations or bequests,999932,Donations or bequests,99993223,,,"Goods, as prescribed by by-law, that have been: a.donated or bequeathed by a person, company or organisation resident or established outside Australia to an organisation established in Australia that is: i.a registered charity; or ii.a library, museum, gallery or institution, gifts to which are deductible because it is covered by item 12.1.2, 12.1.3, 12.1.4 or 12.1.5 of the table in subsection 30-100(1) of the Income Tax Assessment Act 1997; or b.donated or bequeathed to the public or to a public institution",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99996,Last will or intestacy goods not for sale or trade,999960,Last will or intestacy goods not for sale or trade,99996024,1,,Goods that: a.are not to be sold or to be used for the purposes of trade; and b.the Collector (within the meaning of subsection 8(1) of the Customs Act 1901) is satisfied became the property of the importer under the will or the intestacy of a deceased person at a time when the importer was resident or established in Australia,
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99995,"Goods that are trophies, medallions or prizes",999951,"Goods that are trophies, medallions or prizes",99995125,,,"Goods, as prescribed by by-law, that are: a. trophies won outside Australia; or b. decorations, medallions or certificates awarded outside Australia; or c. trophies or prizes sent by donors resident outside Australia for presentation or competition in Australia ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods of insubstantial value,999930,Goods of insubstantial value,99993026,10,,"Goods, as prescribed by by-law, whose value is less than the amount prescribed by by-law ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Samples of negligible value,999930,Samples of negligible value,99993027,11,,"Samples, as prescribed by by-law ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Various aids and appliances for persons with disabilities,999930,Various aids and appliances for persons with disabilities,99993028,,,"Aids and appliances, as prescribed by by-law, for persons with disabilities",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Goods for persons with disabilities,999930,Goods for persons with disabilities,99993029,,,"Goods, as prescribed by by-law, that are: a.goods for persons with disabilities; and b.goods to which Annex E to the Educational, Scientific and Cultural Materials Agreement, or Annex E to the Educational, Scientific and Cultural Materials Protocol, applies ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Parts for invalid carriages ,999930,Parts for invalid carriages ,99993030,,,Components or materials for use in the manufacture or repair of invalid carriages,
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,SPARTECA TCF Scheme,999930,SPARTECA TCF Scheme,99993031,,,"Goods that are Qualifying Goods, as defined in the terms and conditions of the SPARTECA (TCF Provisions) Scheme, entered for home consumption on or before 31 December 2014 ",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,"Textiles, clothing and footwear",999930,"Textiles, clothing and footwear",99993032,,,"Textiles, clothing and footwear, as prescribed by by-law",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Orthopaedic textile goods,999930,Orthopaedic textile goods,99993033,,,"Goods which, apart from paragraph (b) of Note 1 to Chapter 90 of Schedule 3 (about supporting belts or other support articles of textile material), would be classified under that Chapter",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,"Aircraft parts, materials and test equipment",999930,"Aircraft parts, materials and test equipment",99993034,,,"Aircraft parts, materials or test equipment for use in the manufacture, repair, maintenance or modification of aircraft, except the following: a.textiles and goods made from textiles; b.goods for use in the servicing of aircraft",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Vessel parts and materials ,999930,Vessel parts and materials ,99993035,,,"Parts of vessels, or materials, for use in the construction, modification or repair of vessels exceeding 150 gross construction tons as defined by by-law",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Vehicles of an age of 30 years or more ,999930,Vehicles of an age of 30 years or more ,99993036,,,"Vehicles aged 30 years or more that are: a.utilities or pick-ups, having a g.v.w. (within the meaning of Additional Note 7 to Chapter 87 of Schedule 3) not exceeding 3.5 tonnes, classified under subheading 8704.21.10 or 8704.31.10 of Schedule 3; or b.passenger motor vehicles",
22,Supplementary_Section,99,Supplementary_Chapter,9999,Supplementary_Heading,99993,Used or second-hand passenger motor vehicles,999930,Used or second-hand passenger motor vehicles,99993037,,,"Used or second-hand passenger motor vehicles, as prescribed by by-law",
